"femaDeclarationString","disasterNumber","state","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate","tribalRequest","fipsStateCode","fipsCountyCode","placeCode","designatedArea","declarationRequestNumber","lastIAFilingDate","lastRefresh","hash","id","latitude","longitude","declarationYear","declarationMonth"
"FM-5437-NM",5437,"NM","FM","2022-04-28T00:00:00.000Z",2022,"Fire","COOK'S PEAK FIRE",0,0,1,1,"2022-04-28T00:00:00.000Z","","",0,35,7,99007,"Colfax (County)",22036,"","2023-05-22T03:41:22.800Z","29c0d3743d864a6b9202c86d25572759bb41e9e3","be7c8759-3ba5-40f8-8e26-c61e4038694b",36.5799757,-104.4723301,2022,4
"FM-5436-NE",5436,"NE","FM","2022-04-23T00:00:00.000Z",2022,"Fire","ROAD 702 FIRE",0,0,1,1,"2022-04-22T00:00:00.000Z","","",0,31,63,99063,"Frontier (County)",22034,"","2023-05-22T03:41:22.800Z","5d579742836477f2872d933e102f1447562d0b5d","0288010f-4568-48ad-8b8d-d45d2db4f4a1",40.5744778,-100.3497895,2022,4
"FM-5436-NE",5436,"NE","FM","2022-04-23T00:00:00.000Z",2022,"Fire","ROAD 702 FIRE",0,0,1,1,"2022-04-22T00:00:00.000Z","","",0,31,65,99065,"Furnas (County)",22034,"","2023-05-22T03:41:22.800Z","b110b6c0865840d231256b77033e1d65795ea757","feeea545-51d5-49ec-bb2a-de97e4b9bb55",40.121397,-99.9912254,2022,4
"FM-5471-OR",5471,"OR","FM","2023-07-23T00:00:00.000Z",2023,"Fire","GOLDEN FIRE",0,0,1,1,"2023-07-22T00:00:00.000Z","","",0,41,35,99035,"Klamath (County)",23077,"","2023-07-25T16:02:04.486Z","2650eab006a74bdc18d8523f01d212899398ba50","4001b293-2c85-4e5a-a2d7-3578c9d77bad",42.6952767,-121.6142133,2023,7
"FM-5436-NE",5436,"NE","FM","2022-04-23T00:00:00.000Z",2022,"Fire","ROAD 702 FIRE",0,0,1,1,"2022-04-22T00:00:00.000Z","","",0,31,145,99145,"Red Willow (County)",22034,"","2023-05-22T03:41:22.800Z","88954cdfe06d3557c637c5ff1f9f92e87c35dee2","23450fb1-c69f-41ee-b076-22d3ea60ac21",40.2353963,-100.5296115,2022,4
"FM-5435-AZ",5435,"AZ","FM","2022-04-19T00:00:00.000Z",2022,"Fire","CROOKS FIRE",0,0,1,1,"2022-04-18T00:00:00.000Z","","",0,4,25,99025,"Yavapai (County)",22032,"","2023-05-22T03:41:22.800Z","b63d73daaf91745b42503e2649b5fa7d7d2aedc8","5501aaf3-2ec7-4d4c-a8ce-1fb84d9b2c68",34.6463981,-112.4291464,2022,4
"DR-4738-GA",4738,"GA","DR","2023-09-07T00:00:00.000Z",2023,"Hurricane","HURRICANE IDALIA",0,0,1,1,"2023-08-30T00:00:00.000Z","2023-08-30T00:00:00.000Z","",0,13,279,99279,"Toombs (County)",23119,"2023-11-06T00:00:00.000Z","2023-10-02T22:41:17.241Z","4a08c8276148f1e88daf5e4ce82151d02898f300","7c1159c5-d1ab-43d5-afb0-81af253c063c",32.0795072,-82.345189,2023,9
"FM-5433-NM",5433,"NM","FM","2022-04-12T00:00:00.000Z",2022,"Fire","NOGAL CANYON FIRE",0,0,1,1,"2022-04-12T00:00:00.000Z","","",0,35,27,99027,"Lincoln (County)",22030,"","2023-05-22T03:41:22.800Z","23e1b6668a4b5fb649e300aa714266695b2d2d20","e147c760-e268-4535-a1cf-50c6b12a85bd",33.8853309,-105.4068079,2022,4
"FM-5432-NM",5432,"NM","FM","2022-04-12T00:00:00.000Z",2022,"Fire","MCBRIDE FIRE",0,0,1,1,"2022-04-12T00:00:00.000Z","","",0,35,27,99027,"Lincoln (County)",22029,"","2023-05-22T03:41:22.800Z","0206154aa2f5eeba597a58b738ff8a15bf59fb5a","56438fb6-2fdd-4fcf-88ef-247997684ce4",33.8853309,-105.4068079,2022,4
"FM-5431-NM",5431,"NM","FM","2022-04-12T00:00:00.000Z",2022,"Fire","HERMIT'S PEAK FIRE",0,0,1,1,"2022-04-12T00:00:00.000Z","","",0,35,47,99047,"San Miguel (County)",22028,"","2023-05-22T03:41:22.800Z","b89b96f0951fd9816fe0b573a96182938c46cfef","2599ea83-e1c5-42ab-9f16-977015fcdbe6",35.5117793,-104.8454619,2022,4
